;E;N;adresa;bod_id;cz;ddata;nazev_x;rok;typ_x;typ_id;zdroj;datum;nazev_y;pocet_akci;pocet_akci_pozit;popis;typ_y
0;14.448980555556;48.893152777778;Kamenný Újezd, 37381 Kamenný Újezd;6385;CZ 16880;;AGRO - CB, spol. s r.o.;R2013;E02;0;GPS;;;12;0;;
1;15.878363888889;49.391116666667;Zarybník 516, 59442 Měřín;6582;CZ 1238;;AGRO - Měřín,obchodní společnost,s.r.o.;R2013;E02;1;GPS;15.10.2013;čištění a sanitace;17;1;"nevyhovující mikrobiologický výsledek <span class=""tip"" title=""celkový počet mikroorganismů"">/CPM/</span> 1 provozního stěru po sanitaci z celkového počtu 7 odebraných stěrů ";provozní
2;12.531472222222;50.051241666667;Malá Šitboř, 35002 Cheb 2;6932;CZ 362;;AGRO & KOMBINÁT Dolní Žandov spol.s r.o.;R2013;E02;0;GPS;;;12;0;;
3;17.280177777778;50.276;č. p. 58, 79084 Mikulovice;7778;CZ 13351;;AGRO Česká Ves, s.r.o.;R2013;E02;0;GPS;;;4;0;;
4;15.104452777778;50.558830555556;č. p. 124, 51265 Všeň;7689;CZ 51930705;;AGRO Český ráj a.s.;R2013;E02;0;GPS;;;3;0;;
5;16.108636111111;49.488452777778;Horní Bobrová, 59255 Bobrová;7101;CZ 1234;;Agroinvest Bobrová, družstvo;R2013;E02;0;GPS;;;13;0;;
6;14.292688888889;50.666675;Verneřice, 40725 Verneřice;6360;CZ 390;;Agrokomplex, spol. s r.o.;R2013;E02;0;GPS;;;14;0;;
7;14.302269444444;50.661086111111;Mírové náměstí 10, 40725 Verneřice;6425;CZ 9686;;AGROKOMPLEX, spol. s r.o.;R2013;E02;0;GPS;;;4;0;;
8;17.462008333333;48.904686111111;č. p. 198, 69672 Lipov;7312;CZ 8531;;AGROLIP,a.s.-prodejna masa výsekového a uzenin;R2013;E02;0;GPS;;;3;0;;
9;15.1196;49.556222222222;č. p. 212, 39422 Košetice;6850;CZ 3829;;Agropodnik Košetice, a.s.;R2013;E02;0;GPS;;;2;0;;
10;15.752777777778;50.034219444444;Palackého třída 2748, Zelené Předměstí, 53002 Pardubice;6780;CZ 9255;;AHOLD Czech Republic, a. s.;R2013;E02;0;GPS;;;2;0;;
11;14.467502777778;50.090041666667;Koněvova 1686/112, Žižkov, 13000 Praha 3;7794;CZ 11933175;;AKOFA s.r.o.;R2013;E02;0;GPS;;;1;0;;
12;14.155283333333;48.996063888889; ;7122;CZ 31970190;;ALAN Velkoobchod s masem a výroba s.r.o.;R2013;E02;0;GPS;;;11;0;;
13;13.855258333333;50.664113888889;Srbická 464, Sobědruhy, 41510 Teplice;7533;CZ 4805;;Albert hypermarket;R2013;E02;0;GPS;;;2;0;;
14;18.010572222222;49.594733333333;Nový Jičín-město, 74101 Nový Jičín 1;6773;CZ 5621;;Albert hypermarket 361;R2013;E02;0;GPS;;;4;0;;
15;14.585333333333;50.001941666667;Čestlice, Čestlice;7838;CZ 3056;;Albert hypermarket 573;R2013;E02;0;GPS;;;1;0;;
16;14.197105555556;50.770175;Uhelná 1896/2, Děčín IV-Podmokly, 40502 Děčín;7479;CZ 9657;;Albert hypermarket 677;R2013;E02;0;GPS;;;2;0;;
17;18.424747222222;49.871544444444;Masarykova třída 1333, Lutyně, 73514 Orlová;6564;CZ 6882;;Albert hypermarket 683;R2013;E02;1;GPS;09.08.2013;čištění a sanitace;4;1;neprovedení řádného úklidu, čištění a desinfekce v souladu se sanitačním řádem - porušení § 22 odst. 1 písm b) bodu 4. z.č. 166/1999 Sb.;provozní
18;18.546816666667;49.861794444444;Karviná-město, 73301 Karviná 1;6617;CZ 11559;;Albert hypermarket 686;R2013;E02;1;GPS;13.08.2013;čištění a sanitace;3;1;neprovedení řádného úklidu, čištění a desinfekce v souladu se sanitačním řádem - porušení § 22 odst. 1 písm b) bodu 4. z.č. 166/1999 Sb.;provozní
19;14.617997222222;50.90845;Varnsdorf, Varnsdorf;7616;CZ 13343;;Albert hypermarket 694;R2013;E02;0;GPS;;;2;0;;
20;17.692247222222;49.288452777778;Hornoveská 265, Horní Ves, 76316 Fryšták;7579;CZ 6510;;Aleš Košař;R2013;E02;0;GPS;;;2;0;;
21;18.116141666667;49.991452777778;Masarykova 140, 74724 Chuchelná;6408;CZ 5728;;Alfréd Kremser;R2013;E02;0;GPS;;;8;0;;
22;17.970138888889;49.959430555556;Na Kopci 92, 74731 Chlebičov;6648;CZ 81920055;;Alfréd Latoň - Bruno Wieder;R2013;E02;0;GPS;;;14;0;;
23;16.454725;50.044469444444;č. p. 136, 56170 Písečná;6363;CZ 14577;;ALIMA-CZ,s.r.o.;R2013;E02;1;GPS;17.05.2013;čištění a sanitace;24;1;"jeden z pěti úředních vzorků stěrů po sanitaci nevyhověl v parametru<span class=""tip"" title=""celkový počet mikroorganismů""> CPM </span>- byl porušen § 24 odst. 1 písm. a) veterinárního zákona.";provozní
24;16.15945;49.20625;Mjr. Šandery 48, 67571 Náměšť nad Oslavou;6674;CZ 61910399;;Alois Stloukal;R2013;E02;0;GPS;;;12;0;;
25;14.423599722222;50.070544444444;Navrátilova 1334/16, Nové Město, 11000 Praha 1;7891;CZ 11933535;;AL-QAYYUM ŘEZNICTVÍ A UZENÁŘSTVÍ;R2013;E02;0;KU;;;1;0;;
